"MaximumInscribedSphereRadius","TCoords:0","TCoords:1","Curvature","Torsion","FrenetTangent:0","FrenetTangent:1","FrenetTangent:2","FrenetNormal:0","FrenetNormal:1","FrenetNormal:2","FrenetBinormal:0","FrenetBinormal:1","FrenetBinormal:2","Points:0","Points:1","Points:2"
2.6841,0.22819,0,0.0045558,-0.72231,0.13867,-0.12353,-0.9826,-0.49477,0.85085,-0.17679,0.85789,0.51067,0.056869,-13.699,-68.295,-545.85
2.6807,0.2349,0,0.0022879,-2.8712,0.13829,-0.12297,-0.98273,-0.66717,0.72177,-0.1842,0.73195,0.68112,0.017767,-13.671,-68.319,-546.05
2.6779,0.24161,0,0.0020986,-5.5366,0.1381,-0.12301,-0.98275,-0.17175,-0.9802,0.09856,-0.97541,0.15518,-0.15649,-13.643,-68.344,-546.25
2.6756,0.24832,0,0.0074988,-0.6565,0.13822,-0.12395,-0.98261,0.21218,-0.9654,0.15162,-0.96741,-0.22945,-0.10714,-13.616,-68.369,-546.44
2.6734,0.25503,0,0.014356,-0.16418,0.1388,-0.12603,-0.98227,0.29055,-0.94304,0.16206,-0.94674,-0.30789,-0.094276,-13.588,-68.394,-546.64
2.6711,0.26174,0,0.019783,0.092116,0.13983,-0.12925,-0.9817,0.30587,-0.93732,0.16697,-0.94175,-0.32362,-0.091528,-13.56,-68.419,-546.84
2.668,0.26846,0,0.01596,0.82356,0.14083,-0.13264,-0.98111,0.24747,-0.95481,0.16461,-0.95861,-0.26598,-0.10164,-13.532,-68.446,-547.03
2.6632,0.27517,0,0.0061121,8.7208,0.14072,-0.13384,-0.98096,-0.82275,0.53532,-0.19107,0.5507,0.83398,-0.034787,-13.503,-68.473,-547.23
2.6585,0.28188,0,0.027149,0.4458,0.13875,-0.13127,-0.98159,-0.5377,0.82237,-0.18599,0.83164,0.5536,0.043521,-13.475,-68.499,-547.43
2.6537,0.28859,0,0.048627,0.15643,0.13487,-0.12488,-0.98296,-0.49642,0.85003,-0.17611,0.85754,0.51171,0.052645,-13.448,-68.525,-547.62
2.649,0.2953,0,0.069558,0.045199,0.12911,-0.1147,-0.98497,-0.47694,0.86367,-0.16309,0.8694,0.49083,0.056805,-13.421,-68.549,-547.82
2.6455,0.30201,0,0.055833,-0.033275,0.12309,-0.10379,-0.98695,-0.4773,0.86574,-0.15057,0.87008,0.48961,0.057025,-13.396,-68.571,-548.02
2.6443,0.30872,0,0.0080767,-3.7271,0.12072,-0.099672,-0.98767,0.3841,-0.91276,0.13906,-0.91536,-0.39615,-0.071906,-13.371,-68.591,-548.22
2.6431,0.31544,0,0.076031,-0.041021,0.12453,-0.10711,-0.98642,0.45734,-0.87606,0.15287,-0.88053,-0.47016,-0.060111,-13.347,-68.611,-548.42
2.642,0.32215,0,0.1449,-0.014019,0.1347,-0.12649,-0.98278,0.45803,-0.87155,0.17496,-0.87867,-0.47371,-0.059459,-13.321,-68.634,-548.62
2.6408,0.32886,0,0.21479,-0.0077688,0.15117,-0.1578,-0.97583,0.45495,-0.8653,0.2104,-0.87759,-0.47577,-0.059012,-13.293,-68.662,-548.81
2.6397,0.33557,0,0.28044,-0.030796,0.17355,-0.20047,-0.9642,0.44793,-0.85586,0.25857,-0.87706,-0.47677,-0.058743,-13.261,-68.698,-549.01
2.6361,0.34228,0,0.26922,-0.09426,0.19821,-0.24709,-0.9485,0.44811,-0.83781,0.31189,-0.87173,-0.48686,-0.055339,-13.224,-68.742,-549.2
2.6307,0.34899,0,0.19342,-0.24121,0.21937,-0.28532,-0.93299,0.46892,-0.80775,0.35728,-0.85556,-0.51587,-0.0434,-13.181,-68.797,-549.39
2.6253,0.3557,0,0.11841,-0.63354,0.23474,-0.30999,-0.92131,0.52725,-0.75565,0.38858,-0.81664,-0.57697,-0.013939,-13.135,-68.857,-549.57
2.6199,0.36242,0,0.047242,-3.9527,0.24462,-0.32148,-0.91477,0.7572,-0.52596,0.38732,-0.60565,-0.78741,0.11477,-13.087,-68.922,-549.76
2.6145,0.36913,0,0.040924,-5.2867,0.24926,-0.32014,-0.91399,0.25024,0.93302,-0.25856,0.93555,-0.16427,0.31268,-13.037,-68.987,-549.94
2.6091,0.37584,0,0.11131,-0.72011,0.24869,-0.30594,-0.91899,-0.14428,0.92652,-0.34749,0.95778,0.21901,0.18628,-12.986,-69.051,-550.13
2.6037,0.38255,0,0.18643,-0.26329,0.24275,-0.27856,-0.92923,-0.23363,0.9129,-0.3347,0.94153,0.29835,0.15652,-12.936,-69.11,-550.31
2.5983,0.38926,0,0.26573,-0.11081,0.23101,-0.23738,-0.94355,-0.27991,0.91257,-0.29812,0.93182,0.33297,0.14437,-12.889,-69.162,-550.5
2.5918,0.39597,0,0.31571,-0.022454,0.21399,-0.18432,-0.95929,-0.30656,0.91975,-0.24511,0.92748,0.34653,0.14031,-12.844,-69.205,-550.69
2.5726,0.40268,0,0.27365,0.04097,0.19575,-0.13003,-0.972,-0.31481,0.93038,-0.18786,0.92875,0.34277,0.14119,-12.804,-69.236,-550.88
2.5535,0.4094,0,0.21219,0.092086,0.18058,-0.084733,-0.9799,-0.30997,0.94061,-0.13846,0.93344,0.32874,0.14359,-12.766,-69.257,-551.08
2.5344,0.41611,0,0.15145,0.1638,0.16954,-0.050361,-0.98424,-0.29338,0.95084,-0.099187,0.94084,0.30557,0.14643,-12.732,-69.27,-551.27
2.5152,0.42282,0,0.093202,0.42101,0.16274,-0.026863,-0.9863,-0.24904,0.96614,-0.067405,0.95472,0.2566,0.15054,-12.698,-69.277,-551.47
2.4961,0.42953,0,0.037028,2.7007,0.16026,-0.014073,-0.98697,-0.036972,0.99911,-0.02025,0.98638,0.039735,0.1596,-12.666,-69.28,-551.67
2.477,0.43624,0,0.025856,5.4806,0.16219,-0.011907,-0.98669,0.78893,-0.59904,0.13691,-0.59269,-0.80063,-0.087761,-12.634,-69.282,-551.87
2.4578,0.44295,0,0.079997,0.57112,0.16848,-0.020298,-0.9855,0.52366,-0.84519,0.10693,-0.8351,-0.53408,-0.13177,-12.6,-69.285,-552.07
2.4387,0.44966,0,0.13748,0.19813,0.17913,-0.039295,-0.98304,0.46258,-0.8785,0.11941,-0.86829,-0.47613,-0.13919,-12.566,-69.291,-552.27
2.4196,0.45638,0,0.19591,0.066843,0.19405,-0.069003,-0.97856,0.43125,-0.88997,0.14827,-0.88112,-0.45077,-0.14294,-12.528,-69.301,-552.47
2.4005,0.46309,0,0.2288,-0.043596,0.21215,-0.10696,-0.97137,0.41746,-0.88881,0.18904,-0.88358,-0.44561,-0.14391,-12.488,-69.318,-552.66
2.382,0.4698,0,0.17205,-0.23613,0.22923,-0.14239,-0.9629,0.4348,-0.87008,0.23218,-0.87086,-0.47189,-0.13753,-12.443,-69.344,-552.86
2.3635,0.47651,0,0.098836,-0.82479,0.24177,-0.1655,-0.95612,0.50987,-0.81668,0.27029,-0.82558,-0.55285,-0.11306,-12.396,-69.376,-553.05
2.3449,0.48322,0,0.031021,-8.3476,0.24951,-0.17485,-0.95246,0.86412,-0.40373,0.30049,-0.43708,-0.89801,0.05036,-12.346,-69.41,-553.24
2.3264,0.48993,0,0.05727,-2.2825,0.25245,-0.17045,-0.95248,0.042969,0.98537,-0.16495,0.96666,0.00071396,0.25608,-12.295,-69.446,-553.43
2.3079,0.49664,0,0.12196,-0.3333,0.25083,-0.15295,-0.95587,-0.15426,0.9685,-0.19546,0.95566,0.19648,0.21933,-12.245,-69.479,-553.62
2.3071,0.50336,0,0.12671,-0.11079,0.24643,-0.12886,-0.96056,-0.1976,0.96362,-0.17997,0.9488,0.23416,0.212,-12.195,-69.507,-553.81
2.3129,0.51007,0,0.09425,-0.074069,0.24191,-0.10751,-0.96432,-0.2118,0.96403,-0.16061,0.9469,0.2431,0.21044,-12.146,-69.531,-554.01
2.3188,0.51678,0,0.062716,-0.16252,0.23839,-0.092359,-0.96677,-0.24004,0.95898,-0.15081,0.94104,0.26802,0.20644,-12.098,-69.55,-554.2
2.3246,0.52349,0,0.029964,-0.55337,0.23599,-0.083483,-0.96816,-0.29371,0.94358,-0.15296,0.92631,0.32046,0.19816,-12.05,-69.568,-554.4
2.3305,0.5302,0,0.0038521,-42.422,0.23487,-0.080948,-0.96865,-0.60995,-0.78818,-0.08203,-0.75683,0.61009,-0.2345,-12.003,-69.584,-554.59
2.3347,0.53691,0,0.044894,-0.78933,0.2366,-0.085248,-0.96786,0.43289,-0.88256,0.18356,-0.86984,-0.46241,-0.17191,-11.956,-69.6,-554.79
2.3382,0.54362,0,0.096151,-0.24839,0.24364,-0.097214,-0.96498,0.52431,-0.82384,0.21537,-0.81593,-0.55842,-0.14975,-11.907,-69.618,-554.98
2.3417,0.55034,0,0.1483,-0.10552,0.25682,-0.11716,-0.95933,0.54315,-0.80354,0.24354,-0.79939,-0.58361,-0.14272,-11.857,-69.639,-555.17
2.3452,0.55705,0,0.20266,-0.055269,0.27603,-0.14517,-0.95012,0.54679,-0.78926,0.27945,-0.79046,-0.59665,-0.13849,-11.804,-69.665,-555.37
2.3487,0.56376,0,0.25476,0.00095266,0.30092,-0.181,-0.93632,0.53997,-0.77694,0.32373,-0.78605,-0.603,-0.13606,-11.747,-69.698,-555.56
2.3521,0.57047,0,0.25554,0.07227,0.32791,-0.22047,-0.91862,0.51857,-0.77079,0.3701,-0.78966,-0.59773,-0.13842,-11.684,-69.738,-555.74
2.3554,0.57718,0,0.20678,0.17899,0.35106,-0.25616,-0.90063,0.48114,-0.7758,0.4082,-0.80328,-0.57664,-0.14911,-11.616,-69.786,-555.92
2.3587,0.58389,0,0.15559,0.30939,0.36764,-0.28456,-0.88536,0.42707,-0.79405,0.43255,-0.82611,-0.53713,-0.1704,-11.544,-69.84,-556.1
2.362,0.5906,0,0.10801,0.61626,0.37805,-0.30591,-0.87379,0.34771,-0.82782,0.44025,-0.85801,-0.47026,-0.20659,-11.468,-69.9,-556.28
2.3652,0.59732,0,0.061047,1.9452,0.38264,-0.32046,-0.86654,0.13606,-0.90814,0.39593,-0.91382,-0.2694,-0.30389,-11.391,-69.963,-556.45
2.3685,0.60403,0,0.030049,7.9783,0.38159,-0.32842,-0.86402,-0.62067,-0.78371,0.023776,-0.68495,0.5272,-0.50289,-11.314,-70.029,-556.63
2.3718,0.61074,0,0.054145,2.2811,0.37492,-0.32985,-0.86639,-0.87844,0.17226,-0.44572,0.29627,0.92818,-0.22517,-11.238,-70.096,-556.8
2.3751,0.61745,0,0.088855,0.45562,0.36315,-0.32531,-0.8731,-0.78141,0.40405,-0.47555,0.50747,0.85494,-0.10747,-11.163,-70.162,-556.98
2.376,0.62416,0,0.087317,0.036067,0.34938,-0.31786,-0.88142,-0.77143,0.43635,-0.46314,0.53182,0.84176,-0.092757,-11.091,-70.227,-557.15
2.3767,0.63087,0,0.066299,-0.14476,0.33735,-0.31122,-0.88845,-0.78871,0.42181,-0.44723,0.51394,0.8516,-0.10316,-11.022,-70.29,-557.33
2.3773,0.63758,0,0.047654,-0.24614,0.32821,-0.30653,-0.89349,-0.81193,0.39186,-0.43268,0.48275,0.86746,-0.12027,-10.956,-70.352,-557.51
2.378,0.6443,0,0.028652,-0.68105,0.32188,-0.30371,-0.89675,-0.84801,0.32873,-0.41572,0.42104,0.89426,-0.15173,-10.891,-70.413,-557.69
2.3786,0.65101,0,0.0099147,-6.0769,0.3185,-0.30285,-0.89824,-0.94785,-0.089771,-0.30582,0.011982,0.9488,-0.31565,-10.827,-70.473,-557.87
2.3792,0.65772,0,0.013016,-2.5264,0.31807,-0.30401,-0.898,0.39481,-0.81868,0.417,-0.86195,-0.48718,-0.14038,-10.763,-70.534,-558.05
2.382,0.66443,0,0.022505,0.16617,0.31983,-0.30668,-0.89647,0.54857,-0.71151,0.43912,-0.77252,-0.63221,-0.059327,-10.699,-70.595,-558.23
2.3897,0.67114,0,0.016009,1.7629,0.32161,-0.30964,-0.89481,0.3401,-0.84418,0.41436,-0.88369,-0.43758,-0.16619,-10.635,-70.657,-558.41
